response_id,session_id,prompt_id,tag,response,response_start,response_finish,response_box,truth,version,skip_flag
19,8d688c90-2440-469a-9613-9fef74b7ec7f,6,4,"I do not have any, but I think that this is a good way for people who like to have them, to express themselves. A lot of space for creativity.",13.709,48.524,response1,TRUE,1,FALSE
20,8d688c90-2440-469a-9613-9fef74b7ec7f,19,4,"oh, I think that was a situation in public transport in Ukraine, when certain passenger did not like the window opened (opened by me as it was too hot inside ))), and was very emotional about that fact",48.524,93.18,response2,TRUE,1,FALSE
21,8d688c90-2440-469a-9613-9fef74b7ec7f,1,4,"When I had vacations in Turkey I met my old friend, that was really unexpected. We had a chance to share a lot of moments together.",93.18,179.741,response3,FALSE,1,FALSE
22,2cb08889-3727-45d5-adca-2429bc38abd8,18,2,"One day as a lifeguard, during a teaching shift. We were in the small pool for the lower level children. There was a pool fouling so we had to all move over to the bigger pool, in which there was another pool fouling and we finished lessons for the day early.",0.994,1.933,response1,TRUE,1,FALSE
23,2cb08889-3727-45d5-adca-2429bc38abd8,7,2,A bad public experience I had was when I was out in public and was standing out in the sun all day. I ended up throwing up and making a big mess.,1.933,2.833,response2,TRUE,1,FALSE
24,2cb08889-3727-45d5-adca-2429bc38abd8,4,2,One thing that really bothers me is when people complain about Trudeau. This country has never seen a better leader and probably never will.,2.833,113.445,response3,FALSE,1,FALSE
25,852f4369-3bff-4a25-8fb2-ccbb3813299b,24,2,My most memorable experience at the office was when I was asked to join some people eating at the lunch table instead of staying at my desk. It made lunches and the day alot more enjoyable.,1.539,7.626,response1,TRUE,1,FALSE
26,852f4369-3bff-4a25-8fb2-ccbb3813299b,6,2,"I think that conservative tattoos can be alright, just not when they cover the whole body and are generally not openly visible. I think for women ear piercing's are ok, and some nose piercings can look alright, but septum piercings are awful.",7.626,8.725,response2,TRUE,1,FALSE
27,852f4369-3bff-4a25-8fb2-ccbb3813299b,23,2,A house that I live in was a small single story condo. It had enough room for one person and was very cozy.,8.725,81.139,response3,FALSE,1,FALSE
28,d89b2e50-f0a0-4047-b229-d3db3359fbe5,21,2,One recent family dinner I had was thanksgiving dinner. My sister came up from Kingston and we all had a good time eating.,0.626,1.653,response1,TRUE,1,FALSE
29,d89b2e50-f0a0-4047-b229-d3db3359fbe5,4,2,One thing that really bothers me is when people are overly loud on the bus and calling people nazies and being generally disrespectful.,1.653,2.277,response2,TRUE,1,FALSE
30,d89b2e50-f0a0-4047-b229-d3db3359fbe5,8,2,"My current favourite mobile app is Facebook, I've made countless memories on it and will continue to do so as long as Facebook is around.",2.277,70.083,response3,FALSE,1,FALSE
31,4cd3ec9a-920e-48a4-ba7a-6000665360c7,17,4,"The habit or the fact that I want everything to be done in a perfect way, which makes me try to make everything done in one day )",1.478,2.409,response1,TRUE,1,FALSE
32,4cd3ec9a-920e-48a4-ba7a-6000665360c7,15,4,"So I have routine consisting of 2 parts: 
first one is to make everything done and organized for me and the second one is to get everything done (lunch-box etc.) for my little son.",2.409,3.643,response2,TRUE,1,FALSE
33,4cd3ec9a-920e-48a4-ba7a-6000665360c7,7,4,"Once I had to make a presentation and something went wrong with my laptop exactly during presentation, all slides and materials for demo were there, so that was a very unfortunate experience for me. I had  a chance to do it without any supporting or graphic materials but I planned to do it better than I did. ",3.643,644.083,response3,FALSE,1,FALSE
34,eab94629-2f5b-48e1-9257-862011721a47,12,3,"Once while I was living away from my hometown I went back to a visit over the holidays. My friend's knew I was going through a bit of financial difficulty, and just the travel costs were hard to afford. Knowing that a few of chipped in together to get me a really nice present, with no expectation for anything in return",0.927,2.152,response1,TRUE,1,FALSE
35,eab94629-2f5b-48e1-9257-862011721a47,23,3,I once lived in a house that was converted to a duplex. The house was shoddily built and in desperate need of renovation. My shower was very narrow and made out of metal beginning to rust. Also I had no furniture and my bed frame was just an old futon frame.,2.152,3.585,response2,TRUE,1,FALSE
36,eab94629-2f5b-48e1-9257-862011721a47,17,3,When I'm anxious I have a habit of scratching my skin. Sometimes I don't realize what I'm doing and it really irritates and damages my skin.,3.585,212.889,response3,FALSE,1,FALSE
37,07059389-b3b8-4bfe-9c44-f4198b7dd0a8,18,5,"When I was young, aroung the age of 13, I used to sweep the parking lot at a neighbouring strip mall by hand using a push broom.  It was a huge lot and would sometimes take hours to complete.",267.098,269.232,response1,TRUE,1,FALSE
38,07059389-b3b8-4bfe-9c44-f4198b7dd0a8,9,5,Seth went on again about the typical Trump stories. I don't remember who he had as guests but I do remember stories of the impeachment inquiry.,269.232,271.419,response2,TRUE,1,FALSE
39,07059389-b3b8-4bfe-9c44-f4198b7dd0a8,16,5,On my 35th birthday my parrents surprised me with a surprise trip to Texas.  I had always wanted to go to there.,271.419,367.164,response3,FALSE,1,FALSE
40,abb60664-4c73-4bf0-97c0-9af638780bad,17,6,"Not cleaning out the cat's litterbox every day.  It's sooooo much worse if I wait even one more day, and soooo easy if I just bloody do it daily!",24.504,66.96,response1,TRUE,1,FALSE
41,abb60664-4c73-4bf0-97c0-9af638780bad,18,6,"I arrived in the office, and met with one of the new sales guys.  We got in his car to go to the client.  Normally I would drive, but for some reason, he said he would.  He was parked on the 3rd basement level.  He pulled out, then proceeded to drive up the three floors WITHOUT touching the accelerator...jsut at the speed that an automatic transmission moves the car.
I thought my brain would explode waiting for him to actually start DRIVING!
When we got to the exit, and he finally started driving ""normally"", I blurted out - ""What was that all about??!!""
He said - ""I've got new tires, and I am breaking them in.  I drive very slowly to let them warm up.""
I never let him drive again.
(Plus, turns out he was a drunk.)",66.96,70.532,response2,TRUE,1,FALSE
42,abb60664-4c73-4bf0-97c0-9af638780bad,14,6,"Wow - tough one...I've been lucky enough to not have any serious injuries.  
But one that I remember was when I was rebuilding a stone wall on my property.  I was gathering some very heavy stones, and trying to find the best fit.  I found just the right one off in the woods, but it was very heavy.  I carried it anyway.  While walking back to the wall from the woods, I stumbled.  (The ground was covered with leaf litter, so footing was very uncertain.)
I lost my footing, and dropped the rock.  When I fell, my elbow hit the jagged rock.  I wound up with really bad bruising, a nasty scrape, and pain in my elbow that continues to this day.
But the wall looks great!",70.532,196.213,response3,FALSE,1,FALSE
43,27c4c3b9-4df1-4912-ad89-1cf035f762a3,4,6,"People who don't use their blinkers while driving!  Give us a little warning, folks!!  OK, I know you think if you tip your hand, that we won't let you change lanes in front of us, but that's only because you're probably also one of those morons who gets in the lane in front of me, then slows down!",1.685,2.378,response1,TRUE,1,FALSE
44,27c4c3b9-4df1-4912-ad89-1cf035f762a3,16,6,"Last year I helped organize my mom's 95th birthday party in Portugal.  It was awesome because our entire extended family, from both my mother's and father's sides, came together.  In nfact, we had to have three parties for her!  And it was awesome because she loves being the center of attention!!",2.378,4.157,response2,TRUE,1,FALSE
45,27c4c3b9-4df1-4912-ad89-1cf035f762a3,20,6,"I woke up one morning in Buenos Aires with an absolutely awful case of the flu.  I asked the hotel if they had anything to help me feel better, but they said no, and suggested I go to the nearest pharmacy.  I dragged myself out of bed, threw on some clothes, asked at the front desk where the nearest pharmacy is, and walked there.  (This was before cheap international data plans!).
Once there, they didn't speak a word of English.  While I am fluent in Hindi, my Spanish is non-existent.  I had to re-enact my symptoms in the saddest game of charades I ever experienced!
Then even worst wsa the long plane ride back to Austin, TX..",4.157,122.995,response3,FALSE,1,FALSE
46,3933511a-0512-45c5-b002-ccf29b30b017,5,6,"I always loved science.  Any kind - mostly.  Biology, geology, physics...  Except, oddly, for chemistry - never was interested in that branch!
Why?  I guess it's a natural and persistent curiousity - wanting to know how things work, and - liking to solve puzzles!",1.405,2.722,response1,TRUE,1,FALSE
47,3933511a-0512-45c5-b002-ccf29b30b017,10,6,"Went for a walk in the park with a friend and her dog - an Irish Setter.  She adores dogs!  She realized she forgot something, and told us she was going to run back home to get it, and to watch the dog.  But he wasn't on a leash.  So of course, the moment he realized she was running back home, he ran to follow her - across the street, and right into an oncoming car. The driver had absolutely no time to react.
So sad!",2.722,4.225,response2,TRUE,1,FALSE
48,3933511a-0512-45c5-b002-ccf29b30b017,9,6,"The last tv show I watched?  You expect me to remember that??
OK - well, I remember - it was a rerun of Breaking Bad.  The teacher had been taking lab equipment from the school's lab to use for making crystal meth..",4.225,96.92,response3,FALSE,1,FALSE
52,b0b7e63d-d7bc-4f1f-8c85-ba02c5973b26,20,6,"It was a Saturday.  Friends over for bbq.  I took only small portions of everything.  Friends reacted... ""Are you OK??""  Because they know about my ravenous nature, and knew something must be wrong.
Well, I drank more soda (only thing I had an appetite for, which is odd, because I hate sodas) than I had in probably the last 5 years, and I slept about 18 hours over the next 2 days.
Turns out it was all from a tick!
Doc prescribed a short round of anitbiotics, and all was back in balance on the 3rd day.
",1.847,2.915,response1,TRUE,1,FALSE
53,b0b7e63d-d7bc-4f1f-8c85-ba02c5973b26,10,6,"I was hiking hte Appalachian Trail.  Went to the point of land at the confluence of two rivers, so I could stand with one leg in each river.  Grabbed onto a bush to steady myself, and as I pulled back the branches, I revealed a tangle of large (to me) black snakes!!  I froze, while some kid on shore yelled ""don't worry, they're just northern water snakes - they're not poisonous!).
I relaxed instantly, then slowly stepped away.
Only later did I realize - I had put my trust in a 13 yr old total stranger, and, I bet a snake bite from a non-poisonous snake is still a bitch...
",2.915,3.955,response2,TRUE,1,FALSE
54,b0b7e63d-d7bc-4f1f-8c85-ba02c5973b26,23,6,"I lived in a house in Hollis, Queens, for a year or so while my folks were looking for a permanent place.  It was one of those row houses that you see in TV sitcoms set in Brooklyn or Queens.
You could lean out the window and touch the neighbor's house.  Ours was situtated so that we would get morning sun at the windows in the back, and afternoon sun at the front of the house.  I had a friend who lived in a nearly identical house, but situated on a cross street, that never got direct sun.  It was nowhere near as nice.",3.955,216.643,response3,FALSE,1,FALSE
55,f09c8620-2d8c-40f2-a3e8-728b4cf0c034,10,7,I was scratching a cat's belly and it looked like it loved it but then the cat's mood suddenly changed and bit my hand a bit hard.,17.223,53.963,response1,TRUE,1,FALSE
56,f09c8620-2d8c-40f2-a3e8-728b4cf0c034,3,7,I scratched the front bumper my car while moving into a very tight parking spot in Orleans. I should have tried to find a better parking spot instead of fitting in there.,53.963,55.979,response2,TRUE,1,FALSE
57,f09c8620-2d8c-40f2-a3e8-728b4cf0c034,6,7,I think people who get them only want to draw attention to themselves and are being ridiculous. It is very hard to undo a tattoo so no one should get one in case they regret it!,55.979,145.051,response3,FALSE,1,FALSE
58,922bc336-23b7-4cd1-8d69-ec4ac5bcede8,3,8,I parked my car in billings bridge parking lot. Someone just hit my new car and left. That person even didn't leave any note.,11.407,45.299,response1,TRUE,1,FALSE
59,922bc336-23b7-4cd1-8d69-ec4ac5bcede8,2,8,"I am a new driver. Few weeks ago, I didn't have my snow tires on. I was driving back to home from office. Roads were slippery that day. I got near traffic lights close to my house. The lights turned red and I pushed my breaks but car didn't stop. It was bumping and I was yelling inside but finally stopped in the middle of the intersection.",45.299,47.562,response2,TRUE,1,FALSE
60,922bc336-23b7-4cd1-8d69-ec4ac5bcede8,16,8,I went to a birthday party this weekend. It was my friend's birthday. I enjoyed good food and music there. I got a chance to see my old friends. ,47.562,167.373,response3,FALSE,1,FALSE
61,b0ad0410-48bc-4adc-9a08-33ca670c6048,18,9,"I used to work at a hospital, so a typical day for me would involve getting up extremely early and driving in, no matter the weather to ensure I was on time to take over for the night shift.",10.495,16.807,response1,TRUE,1,FALSE
62,b0ad0410-48bc-4adc-9a08-33ca670c6048,13,9,"I used to live across the street from a family who owned an Airdale terrier named Alex. He was a bit mean, but a really nice looking dog.",16.807,18.069,response2,TRUE,1,FALSE
63,b0ad0410-48bc-4adc-9a08-33ca670c6048,14,9,I was driving to a soccer game in the west end of town when we got rear-ended on the highway. I had to call the ambulance and get transported to the ER for whiplash.,18.069,76.138,response3,FALSE,1,FALSE
64,c545ed06-e0b7-41e9-a739-ea3e4fadc3bd,23,10,I lived in a house that would shake when large trucks went by outside. The floors all sloped in towards the center and the walls were very thin.,0.859,1.539,response1,TRUE,1,FALSE
65,c545ed06-e0b7-41e9-a739-ea3e4fadc3bd,12,10,I was going through a tough time at home and two of my friends left post-it notes inside my locker at school with funny drawings and kind messages on them,1.539,2.366,response2,TRUE,1,FALSE
66,c545ed06-e0b7-41e9-a739-ea3e4fadc3bd,20,10,I was in the hospital for appendicitis and I was really young so I was scared and wouldn't let my mom leave at any point. I held her shirt in my hand and kept pulling. ,2.366,43.902,response3,FALSE,1,FALSE
76,c69f01f2-91e8-443e-828b-ab07e18bfeab,24,6,"Well, it wasn't really my office - but it was my client's office.  I had announced that I was leaving my company, and was so touched when a bunch of them got together to throw me a going away lunch.
What really made me happy was that some of those folks were surprised to learn that I wasn't an employee!  I took that as a wonderful compliment to my relationship management skills! ",2.347,3.255,response1,TRUE,1,FALSE
99,61b4c9e5-978d-450e-8e36-d3f5815c804d,21,11,"My family went out for dinner at Swiss Chalet last weekend. I ordered a half chicken meal, and my mother ordered chicken wings ",133.644,174.968,response3,FALSE,2,FALSE
49,f640b60d-c336-4f25-a53d-9246f54089d8,21,6,"My sister surprised us with an early Thanksgiving dinner with her two kids, who now live in Denver and San Francisco!  Though I suspected something was up!",1.479,2.175,response1,TRUE,1,FALSE
50,f640b60d-c336-4f25-a53d-9246f54089d8,22,6,"OK - I'll go all highbrow here and talk about the Mozart Requiem that I attended in Prague. Concerts were VERY inexpensive there...that day, we saw the Requiem, a piano concerto, and Dixieland jazz.",2.175,3.127,response2,TRUE,1,FALSE
51,f640b60d-c336-4f25-a53d-9246f54089d8,17,6,It really bothers me when I continuously interrupt people who are telling a story I think is boring.,3.127,97.576,response3,FALSE,1,FALSE
67,c527ddbc-3e9d-4ddc-b6eb-48cfc0782ae0,19,12,"i was working on a project and one of my partners didn't like that i had outlined inaccuracies in a statement they made.  they blew up and told me to watch my words, which i took as a threat",10.653,40.373,response1,TRUE,1,FALSE
68,c527ddbc-3e9d-4ddc-b6eb-48cfc0782ae0,4,12,"inconsiderate drivers.  i get upset when drivers are only aware of themselves, and not the impacts of their activities on other drivers on the road",40.373,42.368,response2,TRUE,1,FALSE
69,c527ddbc-3e9d-4ddc-b6eb-48cfc0782ae0,15,12,"I get up, get on my treadmill for 30 minutes.  then jump in the shower, get dressed and then have breakfast with my coffee",42.368,123.868,response3,FALSE,1,FALSE
73,158af572-c421-4f6c-a632-e77297cb6f3e,4,6,People driving at 55mph or slower in the left hand lane on the highway.  The left lane should be used only for passing!,1.374,92.837,response1,TRUE,1,FALSE
74,158af572-c421-4f6c-a632-e77297cb6f3e,6,6,"I think they're for prisoners and submariners!  It's an awfully permanent thing - I mean, you wouldn't be caught dead in mom jeans or jackets with shoulder pads - but those were once most stylish!
Ancient Colombians made beautiful items to adorn the body, but they never pierced - they considered that a desecration.
Oh - unless you mean ear piercings - then of course, that's totally ok!! ;)
(Even for boys!!)",92.837,94.227,response2,TRUE,1,FALSE
75,158af572-c421-4f6c-a632-e77297cb6f3e,13,6,"We once had some neighbors who were from Thailand.  As little kids, we didn't like them much.  You see, they moved into the neighborhood in October, and come Halloween, they gave us strange little sticky rice things wrapped in paper.  Yuck!",94.227,166.135,response3,FALSE,1,FALSE
77,c69f01f2-91e8-443e-828b-ab07e18bfeab,10,6,"After hearing come godawful screams out in the woods, my cat Marzipan came running up the driveway very early one morning.  He was followed by a red fox.
By the time he ran up onto our deck, we had managed to scare the fox off.  But Marz looked awful!  An ear torn, and a bloody eye...  
A mad dash to the vet, a stitched up ear, and he was fine.",3.255,4.524,response2,TRUE,1,FALSE
78,c69f01f2-91e8-443e-828b-ab07e18bfeab,19,6,"I was at the checking out some purchases with the cashier at a clothing store.  Just last month, Connecticut had gone to no bags at all at all stores.  While I was totally accustomed, and a fan of,  bringing my own bags to go food shopping, it had not sunk in that now I must do so for every kind of store.
As I fumbled to find a bag, and hesitated about paying 25 cents for a store bag, the person in line behind me said to the cashier ""Some people just don't read the papers!"".",4.524,193.876,response3,FALSE,1,FALSE
79,33d6cfd9-c03a-41a8-a77c-0206213f1c32,16,13,A few years ago my friends and I decided to go to a sushi place downtown for my friend's birthday. It was very last minute but we ended up getting almost 20 people to come and it was a huge success.,2.141,13.444,response1,TRUE,1,FALSE
80,33d6cfd9-c03a-41a8-a77c-0206213f1c32,21,13,The last family dinner I went to was during thanksgiving. My mom made turkey which was delicious and the family argued over politics as they always do.,13.444,14.635,response2,TRUE,1,FALSE
81,33d6cfd9-c03a-41a8-a77c-0206213f1c32,3,13,A little over a year ago my friends were running down the street and decided to hit my car with a baseball bat. They completely smashed it for no reason at all,14.635,60.403,response3,FALSE,1,FALSE
82,b3403119-5322-4011-a700-ba611b7a060a,17,14,"I have a terrible habit of chewing on my fingernails.   It is not a healthy habit, and makes for unsightly hands.  ",14.891,44.061,response1,TRUE,1,FALSE
83,b3403119-5322-4011-a700-ba611b7a060a,15,14,"I find mornings challenging, so require a few alarms to get me out of bed on time.  Once up, start with a hot shower, brush and floss my teeth, then (when home) drive my kids to school.",44.061,48.895,response2,TRUE,1,FALSE
84,b3403119-5322-4011-a700-ba611b7a060a,14,14,"One year, I tried down hill skiing for the first time.  I was on a small hill, but still the speed and my lack of skill resulted in my crossing my skiis and falling over.  I twisted my knee in the process.",48.895,112.543,response3,FALSE,1,FALSE
85,53959e7f-30d0-4425-adf2-d1926af6254f,6,3,"I think they're pretty cool. I have some tattoos, but no piercings. All my tattoos are work-safe in that they can't be seen if I'm wearing work-appropriate clothes.",3.828,7.802,response1,TRUE,1,FALSE
86,53959e7f-30d0-4425-adf2-d1926af6254f,9,3,"The Mandalorian rescued baby yoda, but then all the other bounty hunters got mad at the Mandlorian. Luckily, the Mandalorian had some buds who helped him out.",7.802,9.835,response2,TRUE,1,FALSE
87,53959e7f-30d0-4425-adf2-d1926af6254f,18,3,"I used to work at a restaurant that served Korean/Japanese food. One day, a large group of businessmen came during lunchtime. They stayed for 2 hours for a formal lunch with multiple courses. At the end, they only tipped 10%.",9.835,97.16,response3,FALSE,1,FALSE
91,6c1b31c1-4145-4e6c-a9a6-684e84e2c91b,24,6,"I was in for a meeting to meet some of the leadership team at this exciting new company.  We were having a really good conversation, about the company, our backgrounds, our experiences, etc..  Suddenly,  while I was waxing eloquent over some fascinating aspect of my career, one of my future colleague's face lit up, and this individual exclaimed, with a big smile...
I thought - ""Wow - that story went over really well...""
Then, this person said ""Wow - it's snowing - I LOVE the snow!!!""
You see, my back was to the window - this person was facing the window, and noticed the snow squall beginning.
I was a little disconsolate that the delightful reaction was not due to my bon mots, but then quickly changed to shared delight, as I love the snow too...!",3.137,276.138,response1,TRUE,2,FALSE
92,6c1b31c1-4145-4e6c-a9a6-684e84e2c91b,10,6,"I was 7 years old.  My friend an I were huddled under an umbrella with my older sister, scurrying home with a fierce rainstorm brewing.
As we walked past the pond, a rat, with it's back legs paralyzed, dragged itself across our path.
I remember it like it was yesterday.",277.075,374.782,response2,TRUE,2,FALSE
93,6c1b31c1-4145-4e6c-a9a6-684e84e2c91b,6,6,"I think tattoos are a fabulous form of self-expression.  Any image I dream up can become the most personal and intimate kind of art, for all the world to see.  Well, I guess that depends on where I get tattooed!
And as for piercings, I love bling, so the more places I can attach it, the better!!
Especially enamored of my belly button piercing!!  
",376.325,506.418,response3,FALSE,2,FALSE
94,bab32bac-5c6a-4761-8a9a-41a019fca7fd,3,6,"My sister came over, and to my surprise, had her two badly-behaved, rambunctious black labs with her.  She let them in the house, where they immediately ran to the cats to play with them.  Our alpha cat jumped onto a shelf filled with antique china  demitasse.  Being a cat, she did so quite deftly, and damaged nothing.
But it was when she swiped at the dog's noses that they turned and ran, then she catapulted (no pun intended) off the shelf, that the damage was done!",4.322,173.465,response1,TRUE,2,FALSE
95,bab32bac-5c6a-4761-8a9a-41a019fca7fd,11,6,"The elves and Bilbo got onto a ship and sailed away, leaving his friends and family very sad as they waved.",174.638,346.183,response2,TRUE,2,FALSE
96,bab32bac-5c6a-4761-8a9a-41a019fca7fd,15,6,"I awaken a few moments before the alarm goes off, toss on a robe, brush my teeth, then go to the gym for one hour.
When I'm back home, I make some instant oatmeal to which I add flax seed, and some organic chicory coffee.
Then I'm ready for the day!",348.228,485.934,response3,FALSE,2,FALSE
97,61b4c9e5-978d-450e-8e36-d3f5815c804d,24,11,One of the most memorable moments so far at the office has been when we all celebrated Andy's wedding,9.443,54.301,response1,TRUE,2,FALSE
98,61b4c9e5-978d-450e-8e36-d3f5815c804d,9,11,"an NBC television show producer struggles with working with her high-society boss, dysfunctional people and her love life is a mess",55.589,132.33,response2,TRUE,2,FALSE
100,d118133c-5b61-4fa1-8fa1-0622f0be40a5,22,11,"I went to see a concert in Toronto with all four of my favourite heavy metal bands, Killswitch Engage, In flames, Protest the Hero and Between The Buried and Me. It was held in an airplane hangar at the Toronto airport and I was in the front row closest to the stage",3.129,72.402,response1,TRUE,2,FALSE
101,d118133c-5b61-4fa1-8fa1-0622f0be40a5,7,11,"I once saw a homeless man bring a snow shovel into Nordstrom at the Rideau Centre and swung it around wildly, destroying stands of jewelry and bags. A security guard tried to stop him and it ended up being a chase around the store, while he still held the snow shovel",73.925,265.136,response2,TRUE,2,FALSE
102,d118133c-5b61-4fa1-8fa1-0622f0be40a5,20,11,"I got the flu last winter and I was bed ridden for over three weeks, I lost a lot of weight and had to go to the hospital",266.304,3149.124,response3,FALSE,2,FALSE
103,8d4b981f-8c29-46ae-a49e-c1bfb67ea81a,3,15,One time I was filling up with gas and while backing out I hit a post and damaged my bumper. Bad day.,84.12,160.356,response1,TRUE,2,FALSE
104,8d4b981f-8c29-46ae-a49e-c1bfb67ea81a,9,15,I am watching a show about a spy in Syria. His cover was almost blown by someone working in the military.,165.913,238.413,response2,TRUE,2,FALSE
105,8d4b981f-8c29-46ae-a49e-c1bfb67ea81a,24,15,There was that one day when Andy arrived at the office wearing drag. Oh wow we had such a great laugh.,242.124,284.998,response3,FALSE,2,FALSE
112,a74cd87b-51d3-4f63-90c7-51e95df9a827,6,1,"I personally don't like to have tattoos or piercings in my body, but don't mind other people have it. I think a tattoo in good taste or a piercing that is discrete can be attractive.",3.336,81.95,response1,TRUE,2,FALSE
113,a74cd87b-51d3-4f63-90c7-51e95df9a827,2,1,A few years ago traveling by car from Montreal back to Ottawa during a rain storm the visibility got so bad we were traveling at 20 kms an hour on the highway and actually had to stop on the side of the road to wait it cleared. There were a few accidents ahead of us that day.,83.958,182.274,response2,TRUE,2,FALSE
114,a74cd87b-51d3-4f63-90c7-51e95df9a827,5,1,There was this guy at elementary school that was super nice. He helped everyone even though they didn't want to play or share. He would never take other kids toys or break them  for no reason.,183.929,260.67,response3,FALSE,2,FALSE
115,de506e59-79fd-418f-b9f9-daab5f17a191,7,16,Just this morning on the bus I was sat next to someone who didn't understand the unwritten social rule about  not peering over and seeing what's on the screen of the cellphone of the person next to you.,3.381,56.746,response1,TRUE,2,FALSE
116,de506e59-79fd-418f-b9f9-daab5f17a191,15,16,"My alarm is set for 6:15, and I take a shower immediately after I get up. There's generally some time for pottering, but I'm normally out of the house within twenty minutes.",57.56,95.937,response2,TRUE,2,FALSE
117,de506e59-79fd-418f-b9f9-daab5f17a191,6,16,I'm delighted that people can find a new way to express themselves by using their own bodies as a form of canvas,96.798,177.1,response3,FALSE,2,FALSE
121,433b29fb-3542-4c54-b166-8eb3abe3c808,22,17,My friends and I were guest performers at a large concert some years ago. it was such an amazing experience singing in front of thousands of people. The best part of performing on such a huge stage was not being able to see the faces of the people in the crowd,7.163,129.083,response1,TRUE,2,FALSE
122,433b29fb-3542-4c54-b166-8eb3abe3c808,16,17,"It was my birthday party. It was sort of a surprise, I went over to visit a friend and other people were there already. after sometime, more people came in with a cake while my friend went into the kitchen to whip up some food. They sang for me and we took pictures and hung out for a while",135.713,296.342,response2,TRUE,2,FALSE
